Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,,4,ND,TRUE,TRUE,557 ms,3230 ms,11137 ms, white cone+orange wedge+blue cross+brown star+black disk+yellow block+
,,4,ND,TRUE,TRUE,973 ms,3230 ms,11137 ms, white cone+orange wedge+blue cross+brown star+black disk+yellow block+
,,4,ND,FALSE,TRUE,375 ms,3230 ms,11137 ms, white cone+orange wedge+blue cross+brown star+black disk+yellow block+
,,4,ND,FALSE,TRUE,310 ms,3230 ms,11137 ms, white cone+orange wedge+blue cross+brown star+black disk+yellow block+
,,4,ND,TRUE,TRUE,274 ms,3230 ms,11137 ms, white cone+orange wedge+blue cross+brown star+black disk+yellow block+
,,5,ND,TRUE,FALSE,2048 ms,2865 ms,10260 ms, blue wedge+green pole+red cone+black disk+brown star+orange sphere+
,,5,ND,TRUE,TRUE,708 ms,2865 ms,10260 ms, blue wedge+green pole+red cone+black disk+brown star+orange sphere+
,,5,ND,TRUE,FALSE,557 ms,2865 ms,10260 ms, blue wedge+green pole+red cone+black disk+brown star+orange sphere+
,,5,ND,TRUE,TRUE,347 ms,2865 ms,10260 ms, blue wedge+green pole+red cone+black disk+brown star+orange sphere+
,,5,ND,TRUE,TRUE,404 ms,2865 ms,10260 ms, blue wedge+green pole+red cone+black disk+brown star+orange sphere+
,,5,ND,TRUE,FALSE,352 ms,2865 ms,10260 ms, blue wedge+green pole+red cone+black disk+brown star+orange sphere+









,T,1,ND,TRUE,TRUE,4094 ms,9564 ms,18864 ms, grey cube+orange pole+black cross+yellow wedge+brown block+green disk+
,T,1,ND,TRUE,FALSE,793 ms,9564 ms,18864 ms, grey cube+orange pole+black cross+yellow wedge+brown block+green disk+
